original_title,genres,popularity,original_language,production_countries,imdb_score
Amadeus,"['Drama', 'History', 'Music']",12.677592,English,['US'],7.524477627799108
The Fault in Our Stars,"['Romance', 'Drama']",16.274653,English,['US'],7.52127933327246
"Love, Rosie","['Comedy', 'Romance']",14.566103,English,"['GB', 'US']",7.516985249682126
City Lights,"['Comedy', 'Drama', 'Romance']",10.891524,English,['US'],7.516081381492499
North by Northwest,"['Mystery', 'Thriller']",12.410427,English,['US'],7.514331550263068
Nightcrawler,"['Crime', 'Drama', 'Thriller']",21.277073,English,['US'],7.51276840561801
Annie Hall,"['Comedy', 'Drama', 'Romance']",18.146043,English,['US'],7.5100607594862705
Indiana Jones and the Last Crusade,"['Adventure', 'Action']",14.788987,English,['US'],7.506215070813803
How to Train Your Dragon 2,"['Fantasy', 'Action', 'Adventure']",12.256689,English,['US'],7.504578138555964
El laberinto del fauno,"['Fantasy', 'Drama', 'War']",26.817754,Spanish,"['ES', 'US', 'MX']",7.5033860921454805
Mulholland Drive,"['Thriller', 'Drama', 'Mystery']",18.184056,English,"['FR', 'US']",7.501379340740292
The Boy in the Striped Pyjamas,"['War', 'Drama']",8.912738,English,"['GB', 'US']",7.498373580158275
Singin' in the Rain,"['Comedy', 'Music', 'Romance']",11.064858,English,['US'],7.497478670806471
Slumdog Millionaire,"['Drama', 'Romance']",11.258181,English,"['IN', 'GB', 'US']",7.496982831196059
The Apartment,"['Comedy', 'Drama', 'Romance']",11.994281,English,['US'],7.496524550792507
Per qualche dollaro in più,['Western'],13.295342,Italian,"['IT', 'ES', 'DE']",7.4959173819002345
The Elephant Man,"['Drama', 'History']",8.405672,English,"['GB', 'US']",7.494347949357189
The King's Speech,"['Drama', 'History']",11.260387,English,['GB'],7.493487791206405
Me Before You,"['Drama', 'Romance']",34.34759,English,['US'],7.488113321955352
Straight Outta Compton,"['Drama', 'Music']",21.183077,English,['US'],7.483850197548001
The Deer Hunter,"['Drama', 'War']",7.729445,English,"['GB', 'US']",7.483511472730253
Captain Phillips,"['Action', 'Drama', 'Thriller']",13.776068,English,['US'],7.48056992633577
L.A. Confidential,"['Crime', 'Drama', 'Mystery']",10.989442,English,['US'],7.4779421029476465
La Haine,['Drama'],12.108196,French,['FR'],7.4729978414286204
Warrior,"['Action', 'Drama']",13.121626,English,['US'],7.471388575443699
天空の城ラピュタ,"['Adventure', 'Fantasy', 'Animation']",11.061551,Japanese,['JP'],7.4633685192106745
To Kill a Mockingbird,"['Crime', 'Drama']",14.284787,English,['US'],7.463293246915633
Star Wars: The Force Awakens,"['Action', 'Adventure', 'Science Fiction']",31.626013,English,['US'],7.46307042247289
Titanic,"['Drama', 'Romance', 'Thriller']",26.88907,English,['US'],7.462031923634486
The Nightmare Before Christmas,"['Fantasy', 'Animation', 'Family']",17.730913,English,['US'],7.461835797133538
Lawrence of Arabia,"['Adventure', 'Drama', 'History']",10.893332,English,['GB'],7.4610807324480275
Batman Begins,"['Action', 'Crime', 'Drama']",28.505341,English,"['GB', 'US']",7.460749987540278
Life of Brian,['Comedy'],10.714173,English,['GB'],7.460369175842785
Pirates of the Caribbean: The Curse of the Black Pearl,"['Adventure', 'Fantasy', 'Action']",47.326665,English,['US'],7.4590413759245635
Harry Potter and the Philosopher's Stone,"['Adventure', 'Fantasy', 'Family']",38.187238,English,"['GB', 'US']",7.459024653568518
Mulan,"['Animation', 'Family', 'Adventure']",21.180857,English,['US'],7.459009850787669
Big Fish,"['Adventure', 'Fantasy', 'Drama']",14.739983,English,['US'],7.457424979506056
GHOST IN THE SHELL,"['Action', 'Animation', 'Science Fiction']",10.686166,Japanese,['JP'],7.455732893906775
3 Idiots,"['Drama', 'Comedy', 'Romance']",7.675621,Hindi,['IN'],7.454369459823237
X-Men: Days of Future Past,"['Action', 'Adventure', 'Fantasy']",26.058586,English,"['GB', 'US']",7.452321956361277
"Monsters, Inc.","['Animation', 'Comedy', 'Family']",26.419962,English,['US'],7.45228417661196
아가씨,"['Thriller', 'Drama', 'Romance']",16.727405,Korean,['KR'],7.452223742938775
Harry Potter and the Goblet of Fire,"['Adventure', 'Fantasy', 'Family']",24.903058,English,"['GB', 'US']",7.449123547553476
Harry Potter and the Deathly Hallows: Part 1,"['Adventure', 'Fantasy', 'Family']",23.300362,English,"['GB', 'US']",7.448690039949126
The Sting,"['Comedy', 'Crime', 'Drama']",12.016821,English,['US'],7.443070280877934
Unforgiven,['Western'],10.942149,English,['US'],7.442392230797735
Moon,"['Science Fiction', 'Drama']",13.336773,English,['GB'],7.440739906791295
Perfetti sconosciuti,"['Comedy', 'Drama']",6.984664,Italian,['IT'],7.437500679565389
Ratatouille,"['Animation', 'Comedy', 'Family']",20.50803,English,['US'],7.4355274420602715
Rain Man,['Drama'],11.267467,English,['US'],7.435022452872772
Das Boot,"['Action', 'Drama', 'History']",8.80338,German,['DE'],7.433733275123205
アキラ,"['Science Fiction', 'Animation']",10.888917,Japanese,['JP'],7.433312136997342
How to Train Your Dragon,"['Fantasy', 'Adventure', 'Animation']",14.416681,English,['US'],7.432778109940046
Moonrise Kingdom,"['Comedy', 'Drama', 'Romance']",8.692433,English,['US'],7.429614806244745
Die Hard,"['Action', 'Thriller']",16.640522,English,['US'],7.427710241157616
Der Untergang,"['Drama', 'History', 'War']",7.69224,German,"['AT', 'DE', 'IT']",7.426754023315397
Edward Scissorhands,"['Fantasy', 'Drama', 'Romance']",17.612244,English,['US'],7.422619674742089
Song of the Sea,"['Family', 'Animation', 'Fantasy']",6.967358,English,"['BE', 'DK', 'FR']",7.415367507623223
Cast Away,"['Adventure', 'Drama']",21.296343,English,['US'],7.4130811646713255
Gone with the Wind,"['Drama', 'Romance', 'War']",14.240357,English,['US'],7.4116131207112295
The Princess Bride,"['Adventure', 'Family', 'Fantasy']",15.15267,English,['US'],7.41103286914271
Before Sunrise,"['Drama', 'Romance']",11.304979,English,"['AT', 'CH', 'US']",7.408840169948837
부산행,"['Action', 'Horror', 'Thriller']",22.685169,Korean,['KR'],7.408840169948837
The Lego Movie,"['Adventure', 'Animation', 'Comedy']",16.418133,English,['US'],7.408400716282772
Kubo and the Two Strings,"['Animation', 'Adventure', 'Family']",12.321832,English,['US'],7.408330257812145
The Great Escape,"['Adventure', 'Drama', 'History']",14.384114,English,['US'],7.4082078051868345
おおかみこどもの雨と雪,"['Animation', 'Drama', 'Family']",10.249498,Japanese,['JP'],7.407329944667914
Mystic River,"['Thriller', 'Crime', 'Drama']",12.602438,English,['US'],7.405825569149705
Beauty and the Beast,"['Romance', 'Family', 'Animation']",23.433511,English,['US'],7.405585811985409
The Iron Giant,"['Adventure', 'Animation', 'Family']",15.441459,English,['US'],7.405468192896606
Raging Bull,['Drama'],8.868558,English,['US'],7.404710243281445
Me and Earl and the Dying Girl,"['Comedy', 'Drama']",12.503333,English,['US'],7.403131153673325
The Untouchables,"['Crime', 'Drama', 'History']",11.062203,English,['US'],7.399818910619615
Det sjunde inseglet,"['Fantasy', 'Drama']",6.47828,Svenska,['SE'],7.399194999206406
羅生門,"['Crime', 'Drama', 'Mystery']",9.887355,Japanese,['JP'],7.396058881808985
Dunkirk,"['Action', 'Drama', 'History']",30.938854,English,"['NL', 'FR', 'GB']",7.395164747361235
Jaws,"['Horror', 'Thriller', 'Adventure']",19.726114,English,['US'],7.392006152948877
M,"['Drama', 'Action', 'Thriller']",12.752421,German,['DE'],7.390261047074351
Shaun of the Dead,"['Horror', 'Comedy']",14.902948,English,"['GB', 'US', 'FR']",7.385908736044513
Contratiempo,"['Mystery', 'Crime', 'Thriller']",13.90698,Spanish,['ES'],7.384528206164809
Young Frankenstein,"['Comedy', 'Science Fiction']",9.339316,English,['US'],7.3797241869437205
Relatos salvajes,"['Drama', 'Thriller', 'Comedy']",8.764888,Spanish,"['AR', 'ES']",7.37910708518446
Dial M for Murder,"['Crime', 'Mystery', 'Thriller']",7.853231,English,['US'],7.377701222348311
The Avengers,"['Science Fiction', 'Action', 'Adventure']",89.887648,English,['US'],7.376555358093871
