CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.06.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07;Patrimônio Líquido Consolidado;127861284.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07;Patrimônio Líquido Consolidado;146110233.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01;Patrimônio Líquido Atribuído ao Controlador;125099772.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01;Patrimônio Líquido Atribuído ao Controlador;142751482.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.01;Capital Social Realizado;98100023.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.01;Capital Social Realizado;98100023.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.02;Reservas de Capital;6344966.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.02;Reservas de Capital;6350720.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.02.01;Ágio na Emissão de Ações;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.02.01;Ágio na Emissão de Ações;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.02.02;Reserva Especial de Ágio na Incorporação;6625608.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.02.02;Reserva Especial de Ágio na Incorporação;6627633.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.02.03;Alienação de Bônus de Subscrição;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.02.03;Alienação de Bônus de Subscrição;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.02.04;Opções Outorgadas;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.02.04;Opções Outorgadas;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.02.05;Ações em Tesouraria;-280642.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.02.05;Ações em Tesouraria;-276913.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.03;Reservas de Reavaliação;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.03;Reservas de Reavaliação;0.0000000000;S
