CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.09;Resultado Líquido das Operações Continuadas;10000.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.11;Lucro/Prejuízo Consolidado do Período;9935.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.11;Lucro/Prejuízo Consolidado do Período;10000.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.11.01;Atribuído a Sócios da Empresa Controladora;0.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.11.01;Atribuído a Sócios da Empresa Controladora;9972.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.11.02;Atribuído a Sócios Não Controladores;0.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.11.02;Atribuído a Sócios Não Controladores;28.0000000000;S
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.99;Lucro por Ação - (Reais / Ação);0.0000000000;N
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.99;Lucro por Ação - (Reais / Ação);0.0000000000;N
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.99.01;Lucro Básico por Ação;0.0000000000;N
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.99.01;Lucro Básico por Ação;0.0000000000;N
05.347.060/0001-07;2021-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;026387;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.99.01.01;ON;0.1911000000;N
